;Endereço de email;Seu sentimento/emoção em relação ao início da disciplina;;VPL 1 - Fatorial;;VPL 2 - Valor de uma série;;VPL 3 - Produto interno;;VPL 4 - Maior valor do vetor;;VPL 5 - Média do vetor;;VPL 6 - Valores ímpares de uma matriz;;VPL 7 - Palavra ao contrário;;VPL 8 - Função para alterar valores do vetor;;VPL 9 - Muitos vetores;;Videoaula - introdução à  arquitetura de computadores;;Lista 1 - Computador simplificado;;Videoaula - Sistemas de numeração;;Videoaula - Conversão de dados em diferentes sistemas de numeração;;Exercícios resolvidos sobre conversão de base;;Outros vídeos sobre sistemas de numeração;;Lista 2 - Sistemas de numeração;;Avaliação do conteúdo - sistemas de numeração;;Introdução aos algoritmos;;Lista 3 - Algoritmos;;Algoritmos - estruturas de seleção;;Lista 4 - Estrutura sequencial e de seleção;;Introdução aos algoritmos - estruturas de repetição;;Lista 5 - Estruturas de repetição;;Avaliação do conteúdo - pseudocódigo;;Introdução à  linguagem C - básico [parte 1];;Introdução à  linguagem C - entrada e saída [parte 2];;Avaliação do conteúdo - básico C;;Uso de bibliotecas de código (funções matemáticas);;Sobre a geração de valores aleatórios;;Linguagem C - desvio condicional;;Avaliação do conteúdo - desvio condicional;;Programação C - estruturas de repetição while e for;;Avaliação do conteúdo - estruturas de repetição;;Introdução à  linguagem C: vetores unidimensionais;;Avaliação do conteúdo - vetores;;Depuração de código com o CodeBlocks;;Introdução ao C - vetor de caracteres (string);;Avaliação do conteúdo - strings;;Introdução ao C - matrizes;;Avaliação do conteúdo - matrizes;;Introdução aos ponteiros na linguagem C;;Ponteiros para vetores na linguagem C;;Avaliação do conteúdo - ponteiros;;Introdução ao C - funções;;Avaliação do conteúdo - funções;;Criar uma biblioteca de funções
Aluno 1;aluno1@ufsc.br;Concluído;Sunday, 12 Mar 2023, 18:58;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído
Aluno 2;aluno2@ufsc.br;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;concluído;Tuesday, 14 Mar 2023, 17:06;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído
Aluno 3;aluno3@ufsc.br;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído;;Não concluído
Aluno 4;aluno5@ufsc.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aluno 5;aluno5@ufsc.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
